"","route","region","nyears","matssname"
"1",1,58,30,"bbs_rtrg_1_58"
"2",1,76,30,"bbs_rtrg_1_76"
"3",2,34,30,"bbs_rtrg_2_34"
"4",2,36,30,"bbs_rtrg_2_36"
"5",2,45,30,"bbs_rtrg_2_45"
"6",2,53,30,"bbs_rtrg_2_53"
"7",2,63,30,"bbs_rtrg_2_63"
"8",2,89,30,"bbs_rtrg_2_89"
"9",3,46,30,"bbs_rtrg_3_46"
"10",3,58,30,"bbs_rtrg_3_58"
"11",3,80,30,"bbs_rtrg_3_80"
"12",3,81,30,"bbs_rtrg_3_81"
"13",4,58,30,"bbs_rtrg_4_58"
"14",4,89,30,"bbs_rtrg_4_89"
"15",4,91,30,"bbs_rtrg_4_91"
"16",5,7,30,"bbs_rtrg_5_7"
"17",5,35,30,"bbs_rtrg_5_35"
"18",5,46,30,"bbs_rtrg_5_46"
"19",5,76,30,"bbs_rtrg_5_76"
"20",5,88,30,"bbs_rtrg_5_88"
"21",5,92,30,"bbs_rtrg_5_92"
"22",6,36,30,"bbs_rtrg_6_36"
"23",6,44,30,"bbs_rtrg_6_44"
"24",6,46,30,"bbs_rtrg_6_46"
"25",6,72,30,"bbs_rtrg_6_72"
"26",6,82,30,"bbs_rtrg_6_82"
"27",8,50,30,"bbs_rtrg_8_50"
"28",8,58,30,"bbs_rtrg_8_58"
"29",9,18,30,"bbs_rtrg_9_18"
"30",9,53,30,"bbs_rtrg_9_53"
"31",10,35,30,"bbs_rtrg_10_35"
"32",10,52,30,"bbs_rtrg_10_52"
"33",10,58,30,"bbs_rtrg_10_58"
"34",10,63,30,"bbs_rtrg_10_63"
"35",10,72,30,"bbs_rtrg_10_72"
"36",10,81,30,"bbs_rtrg_10_81"
"37",10,82,30,"bbs_rtrg_10_82"
"38",11,17,30,"bbs_rtrg_11_17"
"39",11,35,30,"bbs_rtrg_11_35"
"40",11,46,30,"bbs_rtrg_11_46"
"41",11,52,30,"bbs_rtrg_11_52"
"42",11,63,30,"bbs_rtrg_11_63"
"43",11,67,30,"bbs_rtrg_11_67"
"44",11,85,30,"bbs_rtrg_11_85"
"45",12,68,30,"bbs_rtrg_12_68"
"46",12,91,30,"bbs_rtrg_12_91"
"47",13,35,30,"bbs_rtrg_13_35"
"48",13,36,30,"bbs_rtrg_13_36"
"49",13,44,30,"bbs_rtrg_13_44"
"50",13,46,30,"bbs_rtrg_13_46"
"51",14,35,30,"bbs_rtrg_14_35"
"52",14,38,30,"bbs_rtrg_14_38"
"53",14,46,30,"bbs_rtrg_14_46"
"54",14,47,30,"bbs_rtrg_14_47"
"55",14,52,30,"bbs_rtrg_14_52"
"56",14,58,30,"bbs_rtrg_14_58"
"57",14,88,30,"bbs_rtrg_14_88"
"58",15,38,30,"bbs_rtrg_15_38"
"59",15,46,30,"bbs_rtrg_15_46"
"60",15,50,30,"bbs_rtrg_15_50"
"61",15,67,30,"bbs_rtrg_15_67"
"62",15,68,30,"bbs_rtrg_15_68"
"63",16,38,30,"bbs_rtrg_16_38"
"64",16,90,30,"bbs_rtrg_16_90"
"65",17,60,30,"bbs_rtrg_17_60"
"66",18,49,30,"bbs_rtrg_18_49"
"67",19,7,30,"bbs_rtrg_19_7"
"68",19,47,30,"bbs_rtrg_19_47"
"69",20,7,30,"bbs_rtrg_20_7"
"70",20,33,30,"bbs_rtrg_20_33"
"71",20,60,30,"bbs_rtrg_20_60"
"72",20,82,30,"bbs_rtrg_20_82"
"73",21,14,30,"bbs_rtrg_21_14"
"74",21,33,30,"bbs_rtrg_21_33"
"75",21,59,30,"bbs_rtrg_21_59"
"76",21,66,30,"bbs_rtrg_21_66"
"77",21,69,30,"bbs_rtrg_21_69"
"78",22,25,30,"bbs_rtrg_22_25"
"79",22,60,30,"bbs_rtrg_22_60"
"80",22,68,30,"bbs_rtrg_22_68"
"81",22,76,30,"bbs_rtrg_22_76"
"82",23,60,30,"bbs_rtrg_23_60"
"83",23,67,30,"bbs_rtrg_23_67"
"84",23,88,30,"bbs_rtrg_23_88"
"85",24,60,30,"bbs_rtrg_24_60"
"86",24,63,30,"bbs_rtrg_24_63"
"87",25,34,30,"bbs_rtrg_25_34"
"88",26,38,30,"bbs_rtrg_26_38"
"89",26,53,30,"bbs_rtrg_26_53"
"90",26,68,30,"bbs_rtrg_26_68"
"91",26,69,30,"bbs_rtrg_26_69"
"92",27,25,30,"bbs_rtrg_27_25"
"93",27,33,30,"bbs_rtrg_27_33"
"94",28,36,30,"bbs_rtrg_28_36"
"95",28,38,30,"bbs_rtrg_28_38"
"96",28,53,30,"bbs_rtrg_28_53"
"97",28,91,30,"bbs_rtrg_28_91"
"98",29,34,30,"bbs_rtrg_29_34"
"99",29,60,30,"bbs_rtrg_29_60"
"100",29,72,30,"bbs_rtrg_29_72"
"101",29,81,30,"bbs_rtrg_29_81"
"102",29,91,30,"bbs_rtrg_29_91"
"103",30,34,30,"bbs_rtrg_30_34"
"104",30,38,30,"bbs_rtrg_30_38"
"105",30,46,30,"bbs_rtrg_30_46"
"106",30,51,30,"bbs_rtrg_30_51"
"107",30,92,30,"bbs_rtrg_30_92"
"108",31,17,30,"bbs_rtrg_31_17"
"109",31,60,30,"bbs_rtrg_31_60"
